type	geo
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	26.03333333,72.58333333
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	25.775,72.35555556
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
Barmer	26.00833333,72.48333333
